性别,年龄,是否有驾照,所在地区,是否此前购买过车险,车龄,车辆是否发生过事故,年保费,购买渠道,距离上次沟通时间间隔,label
0,26,1,50,1,0,0,30115,152,160,0
1,21,1,17,1,0,0,23459,152,232,0
0,50,1,46,0,1,1,40641,124,63,0
1,28,1,29,1,0,0,40498,152,153,0
1,44,1,28,1,1,0,43151,124,175,0
1,23,1,5,0,0,1,21026,152,141,0
0,61,1,46,1,1,0,37953,26,55,0
0,46,1,46,0,1,1,36992,154,293,0
0,35,1,29,0,1,1,2630,157,232,0
1,25,1,6,1,0,0,19804,152,205,0
0,24,1,8,0,0,1,2630,152,123,0
0,24,1,45,1,0,0,21546,152,237,0
0,41,1,8,1,1,0,33603,124,87,0
0,25,1,11,1,0,0,20958,152,230,0
0,25,1,39,1,0,0,28625,152,80,0
0,61,1,20,1,1,0,2630,26,148,0
0,39,1,1,0,1,1,2630,26,221,0
0,41,1,28,0,1,1,26454,26,200,0
1,26,1,28,1,0,0,33798,152,63,0
0,53,1,35,1,1,1,21353,26,126,0
0,29,1,28,0,0,0,2630,158,194,0
1,25,1,28,0,0,0,30396,152,22,0
1,52,1,28,0,1,1,33944,155,13,0
1,43,1,28,0,1,1,35704,26,18,0
1,30,1,8,1,0,0,2630,160,83,0
1,43,1,18,0,1,1,27743,124,209,0
0,22,1,46,0,0,1,32497,152,138,0
1,22,1,28,1,0,0,28101,160,277,0
0,74,1,33,1,1,0,22623,26,233,0
0,57,1,30,1,1,0,26272,152,195,0
1,23,1,13,0,0,1,28589,152,296,0
1,53,1,28,0,1,1,2630,152,68,0
1,67,1,28,0,1,1,30477,26,290,0
0,23,1,3,1,0,0,26341,152,219,0
0,55,1,46,1,1,0,2630,26,243,0
1,22,1,29,1,0,0,33758,152,211,0
1,32,1,28,1,0,0,2630,1,44,0
1,27,1,8,0,0,1,49623,152,117,0
0,22,1,3,1,0,0,26138,152,135,0
0,25,1,2,0,1,1,2630,156,279,0
0,38,1,28,0,1,1,33196,26,55,0
0,29,1,15,1,0,0,24617,152,57,0
1,20,1,28,0,1,1,41983,124,203,0
1,24,1,25,1,0,0,22400,152,173,0
0,20,1,27,1,0,0,26871,160,52,0
0,49,1,28,0,1,1,45332,124,116,0
1,23,1,29,1,0,0,29688,152,237,0
0,64,1,12,1,1,0,2630,26,186,0
0,31,1,33,1,1,0,2630,156,244,0
0,44,1,28,0,1,1,18082,60,33,0
0,36,1,16,0,1,1,2630,124,85,0
0,38,1,28,0,1,1,52527,122,55,0
0,50,1,30,0,1,1,35346,152,61,0
1,24,1,41,0,0,1,46077,152,62,0
0,20,1,50,1,0,0,36046,160,280,0
0,27,1,43,0,0,1,2630,152,147,0
1,25,1,41,1,0,0,36667,152,60,0
0,42,1,28,0,2,1,32113,26,90,0
1,24,1,30,1,0,0,27776,152,167,0
1,37,1,47,1,1,0,38293,16,212,0
0,44,1,28,1,1,0,28110,61,247,0
0,44,1,8,0,1,0,46940,124,143,0
0,64,1,22,0,1,1,2630,26,100,0
1,24,1,46,1,0,0,35648,152,21,0
1,22,1,33,1,0,0,29452,152,183,0
1,51,1,46,1,1,0,27144,124,266,0
1,20,1,37,0,0,1,55236,160,12,0
0,49,1,8,0,1,1,40088,26,25,0
1,24,1,15,1,0,0,28374,152,208,0
0,33,1,28,0,1,1,2630,156,43,0
1,25,1,6,1,0,0,29208,152,253,0
0,28,1,28,0,1,1,30267,124,161,0
0,25,1,8,1,0,0,61002,152,266,0
0,21,1,6,1,0,0,24939,152,39,0
1,44,1,28,0,1,1,46671,26,94,0
1,61,1,8,0,1,0,42327,26,59,0
1,26,1,41,1,0,0,27868,152,246,0
0,53,1,28,0,1,1,61685,25,24,0
1,54,1,8,0,1,0,31390,26,86,0
0,28,1,11,0,0,1,2630,156,201,0
0,24,1,11,1,0,0,29579,152,125,0
1,22,1,41,0,0,1,52604,152,51,0
1,24,1,11,0,0,1,40921,124,112,0
0,64,1,47,0,1,1,29575,26,264,0
0,76,1,28,0,1,0,35996,26,175,0
1,65,1,28,1,1,0,47045,26,76,0
0,36,1,14,0,1,1,27610,152,35,0
0,25,1,28,1,0,0,34003,152,61,0
0,51,1,0,0,1,1,2630,12,218,0
0,26,1,29,1,0,0,71710,152,222,0
0,66,1,2,0,1,1,35386,124,129,0
1,47,1,28,1,1,0,34823,26,50,0
0,56,1,8,0,1,1,42395,154,44,0
1,24,1,4,1,0,0,27260,152,274,0
1,30,1,41,1,0,0,47952,152,194,0
0,30,1,6,1,0,0,28558,152,47,0
0,25,1,32,1,0,0,25271,152,36,0
0,24,1,28,1,0,0,29925,152,135,0
1,36,1,35,1,1,0,25277,152,11,0
0,51,1,15,0,1,1,37603,124,235,0
1,21,1,50,0,0,1,24007,152,122,0
0,42,1,29,1,1,0,36320,124,56,0
0,25,1,41,1,0,0,30690,152,13,0
0,22,1,16,1,0,0,19117,152,265,0
1,71,1,29,1,1,0,31940,26,207,0
1,37,1,28,0,1,1,31358,124,210,0
1,22,1,33,1,0,0,35692,152,88,0
1,20,1,37,0,0,1,30318,160,24,0
0,55,1,8,0,1,1,29018,26,126,0
1,21,1,24,1,1,0,2630,157,98,0
1,23,1,46,1,0,0,25325,152,169,0
1,22,1,41,1,0,0,33551,152,156,0
0,55,1,28,0,1,1,43852,26,227,0
0,49,1,8,1,1,0,2630,7,193,0
1,48,1,46,0,1,1,34720,11,218,0
1,32,1,30,1,0,0,36959,152,206,0
1,52,1,28,1,1,0,42774,122,63,0
0,25,1,8,1,0,0,61313,152,30,0
1,26,1,30,1,0,0,27084,152,230,0
0,46,1,46,1,1,0,31509,124,298,0
1,53,1,28,0,1,1,53230,124,122,0
1,67,1,46,0,1,1,34908,26,51,0
1,25,1,6,1,0,0,31659,152,17,0
0,45,1,10,0,1,0,38916,124,217,0
0,56,1,28,0,1,0,54290,31,273,0
1,61,1,28,1,1,0,51888,26,33,0
0,41,1,8,0,1,1,21252,163,47,0
0,44,1,36,0,1,1,35560,124,105,0
1,43,1,28,0,1,1,30498,152,279,0
1,30,1,29,1,0,0,2630,160,36,0
1,33,1,28,0,1,1,45268,124,209,0
0,45,1,41,1,1,0,33166,152,52,0
0,55,1,38,0,1,1,32560,124,82,0
1,71,1,28,0,2,1,34462,26,120,0
0,26,1,8,1,0,0,43724,152,110,0
0,26,1,28,0,0,1,30899,152,119,0
0,22,1,7,1,0,0,40635,160,289,0
1,63,1,28,0,2,1,51323,26,210,0
0,45,1,8,1,1,1,2630,4,198,0
0,54,1,28,0,1,1,38729,157,115,0
1,25,1,36,0,0,1,42478,152,45,0
1,26,1,28,1,0,0,50523,152,103,0
1,40,1,24,0,1,1,2630,157,82,0
1,40,1,38,0,1,1,31193,124,96,0
1,24,1,24,1,0,0,21429,152,105,0
1,58,1,28,0,1,1,93515,26,280,0
0,24,1,15,0,0,1,31253,152,188,0
0,56,1,46,0,1,1,45379,26,283,0
1,38,1,28,0,2,1,41743,124,20,0
0,53,1,28,0,1,1,49750,26,207,0
0,64,1,28,0,1,1,52823,26,149,0
1,76,1,35,0,1,1,41134,26,260,0
0,57,1,16,0,1,1,26818,124,91,0
1,41,1,28,0,1,1,38713,124,32,0
0,68,1,2,1,1,0,37895,152,121,0
1,39,1,30,1,1,0,2630,152,66,0
1,21,1,49,0,0,1,19593,152,86,0
1,23,1,45,1,0,0,2630,152,158,0
1,34,1,46,1,1,0,35109,124,202,0
0,21,1,33,1,0,0,41100,152,40,0
1,24,1,8,1,0,0,66490,152,15,0
1,33,1,29,1,0,0,32874,152,168,0
0,22,1,37,0,0,0,32489,152,188,0
0,44,1,8,0,1,1,30312,124,222,0
0,39,1,28,1,1,0,27815,124,75,0
1,20,1,32,0,0,1,21977,160,85,0
1,48,1,28,0,1,1,56409,52,103,0
0,31,1,28,0,0,1,46712,124,166,0
0,38,1,28,0,1,1,67319,26,61,0
0,68,1,45,0,1,1,2630,26,267,0
1,39,1,46,0,1,0,29248,152,114,0
0,55,1,39,1,1,0,35066,124,83,0
1,20,1,30,0,0,1,2630,156,136,0
1,21,1,17,0,0,1,33554,152,169,0
1,23,1,15,0,0,1,26886,152,163,0
0,59,1,28,0,1,1,31231,124,254,0
1,41,1,28,1,1,0,32522,154,236,0
1,23,1,33,1,0,0,29019,152,31,0
0,43,1,46,0,2,1,30471,124,72,0
1,29,1,33,1,0,0,35083,152,166,0
0,23,1,45,1,0,0,35448,152,42,0
1,24,1,14,1,0,0,27805,152,222,0
1,40,1,19,0,1,1,2630,156,157,0
0,77,1,28,0,1,1,61533,122,73,0
1,45,1,8,0,2,1,45171,124,151,0
0,49,1,39,1,1,0,55159,124,274,0
0,36,1,33,0,1,1,31091,124,239,0
1,27,1,29,1,0,1,2630,154,137,0
1,26,1,41,1,0,0,23500,152,127,0
1,41,1,28,0,1,1,38204,152,127,0
0,51,1,28,0,1,1,47843,26,126,0
0,38,1,15,0,1,1,25059,152,274,0
0,47,1,30,0,0,0,2630,1,214,0
0,24,1,41,0,0,1,35554,152,64,0
0,44,1,8,0,1,1,30567,26,108,0
1,24,1,29,1,0,0,2630,152,91,0
0,26,1,28,0,0,1,42220,152,280,0
0,50,1,26,0,1,1,47422,26,39,0
1,73,1,28,0,1,1,43458,26,95,0
1,30,1,3,0,1,1,2630,157,171,0
0,21,1,33,0,1,1,22941,156,282,0
0,42,1,28,1,1,0,34944,26,239,0
1,64,1,28,0,1,1,33037,26,214,0
1,49,1,28,0,1,1,35770,163,78,0
1,49,1,15,0,1,1,27535,152,207,0
0,28,1,46,1,0,0,28086,152,250,0
0,77,1,28,1,1,0,30667,122,296,0
0,45,1,28,0,1,1,60953,26,223,0
1,21,1,28,0,0,1,36019,152,74,0
1,22,1,30,1,0,0,25883,152,204,0
1,20,1,6,0,0,1,2630,160,77,0
0,48,1,28,0,1,1,39713,26,157,0
0,24,1,28,1,0,0,51482,152,103,0
1,47,1,28,0,1,1,42651,26,28,0
0,56,1,28,1,1,0,32564,124,140,0
1,42,1,18,0,1,0,34353,124,284,0
1,22,1,28,0,0,1,74943,152,257,0
0,78,1,28,0,1,1,49093,13,12,0
1,56,1,35,0,1,1,2630,152,178,0
1,29,1,50,1,0,0,57615,152,101,0
1,22,1,11,1,0,0,28067,152,42,0
1,22,1,25,1,0,0,49714,152,225,0
1,26,1,33,1,0,0,2630,152,146,0
1,24,1,15,1,0,0,36216,151,98,0
0,43,1,31,0,2,1,2630,9,25,0
0,21,1,46,0,0,1,33621,152,285,0
1,42,1,8,0,1,1,27635,7,288,0
0,23,1,3,1,0,0,2630,152,238,0
0,28,1,41,0,0,0,37686,152,268,0
1,61,1,28,1,1,0,27227,26,217,0
0,70,1,28,0,1,1,30421,26,62,0
1,78,1,28,0,2,1,42781,26,187,0
0,22,1,3,0,0,0,35250,152,227,0
0,50,1,35,0,1,1,33696,124,249,0
0,57,1,28,0,1,1,2630,26,106,0
0,30,1,15,1,0,0,2630,152,134,0
0,40,1,41,0,1,1,35030,26,219,0
0,32,1,33,0,0,1,2630,160,240,0
1,40,1,11,1,1,0,38475,124,162,0
1,38,1,41,1,1,0,42006,124,269,0
0,40,1,28,0,1,1,61984,26,84,0
0,27,1,8,1,0,0,40255,152,70,0
0,59,1,19,0,2,1,61868,26,86,0
0,46,1,18,0,1,1,40500,124,36,0
1,34,1,30,1,0,0,2630,152,231,0
0,59,1,33,0,1,0,26028,124,240,0
0,23,1,15,0,0,1,36276,152,287,0
1,53,1,8,1,1,0,2630,25,256,0
1,56,1,28,0,1,0,33641,26,40,0
0,25,1,28,1,0,0,45469,152,162,0
0,36,1,9,0,1,1,33321,124,78,0
1,48,1,28,0,1,1,57851,124,198,0
0,62,1,11,0,1,1,39505,26,164,0
0,43,1,28,0,2,1,44402,26,148,0
1,25,1,41,1,0,0,46805,152,234,0
0,54,1,6,1,1,0,26663,26,127,0
1,22,1,28,1,0,0,39153,152,42,0
1,56,1,8,0,1,1,29119,26,170,0
0,32,1,47,1,1,0,34953,124,138,0
0,24,1,41,1,0,0,20375,152,147,0
0,22,1,1,0,0,1,2630,152,277,0
1,30,1,8,0,0,0,2630,152,236,0
1,40,1,28,0,1,1,31817,26,202,0
0,68,1,23,1,1,0,26048,26,299,0
1,25,1,13,1,0,0,41473,152,192,0
1,30,1,30,1,0,0,27828,152,132,0
1,23,1,49,1,0,0,2630,160,157,0
0,51,1,28,1,1,0,45840,26,58,0
0,24,1,28,0,0,1,50117,124,291,0
0,40,1,3,1,1,0,37958,152,261,0
0,44,1,8,0,1,1,46536,124,233,0
1,42,1,28,0,1,1,36349,124,189,0
1,45,1,28,0,1,1,36121,124,19,0
1,43,1,28,1,1,0,33907,26,280,0
0,44,1,4,0,1,1,33594,31,229,0
1,36,1,41,0,1,1,38735,124,250,0
1,34,1,28,0,1,1,40969,24,238,0
1,28,1,35,1,0,0,34533,160,90,0
0,62,1,28,0,2,1,41531,13,156,0
1,67,1,28,0,2,1,25929,26,79,0
0,41,1,28,0,1,1,29990,26,28,0
0,49,1,35,0,1,1,25165,124,284,0
0,40,1,46,0,1,1,43185,26,42,0
1,72,1,28,1,1,0,45285,122,297,0
1,25,1,11,1,0,0,26711,152,236,0
1,52,1,39,0,1,1,2630,154,281,0
0,28,1,15,1,0,0,43046,152,93,0
0,46,1,28,1,1,0,51602,60,242,0
1,24,1,29,1,0,0,29608,152,212,0
0,59,1,8,1,1,1,48134,124,158,0
1,56,1,30,1,1,0,37469,152,272,0
0,43,1,8,0,1,1,34609,124,34,0
1,28,1,47,0,1,1,52450,26,224,0
1,68,1,28,0,2,1,2630,157,296,0
0,50,1,28,1,1,0,50890,61,96,0
1,24,1,29,1,0,0,24600,152,292,0
1,41,1,28,0,1,1,55230,3,75,0
0,48,1,33,0,1,1,2630,124,141,0
0,31,1,28,0,0,1,30467,31,160,0
0,22,1,28,0,1,1,31219,124,253,0
1,42,1,28,0,1,1,31218,124,277,0
0,25,1,15,1,0,0,28136,152,178,0
1,25,1,8,1,0,0,35310,152,250,0
1,69,1,41,0,1,1,35457,26,292,0
0,42,1,41,0,1,1,26604,26,215,0
1,45,1,28,1,1,0,30473,154,11,0
0,59,1,28,1,1,0,46770,122,264,0
0,42,1,41,0,2,1,50666,26,85,0
0,39,1,28,0,1,1,44185,124,237,0
0,45,1,8,0,1,1,28278,124,208,0
0,37,1,20,0,1,1,2630,124,44,0
0,26,1,11,1,0,0,21798,152,174,0
1,40,1,46,0,1,1,29457,156,34,0
0,21,1,2,0,0,1,2630,152,38,0
0,24,1,26,1,0,0,49288,151,182,0
1,58,1,26,0,1,1,37414,26,268,0
1,27,1,15,1,0,0,36279,152,234,0
1,33,1,33,0,0,1,30824,152,169,0
0,20,1,47,0,0,1,42739,160,154,0
0,37,1,28,1,1,0,2630,23,201,0
1,24,1,12,0,0,0,58354,152,290,0
1,29,1,28,0,1,1,37295,157,202,0
1,22,1,33,1,0,0,32070,152,21,0
1,66,1,8,1,1,0,45663,7,32,0
0,21,1,46,0,0,1,33809,152,187,0
0,59,1,5,1,1,1,34858,26,280,0
0,70,1,28,0,1,1,48139,13,111,0
0,22,1,28,1,0,0,69521,152,196,0
0,58,1,28,1,1,0,62160,26,116,0
0,69,1,41,0,1,1,27646,26,255,0
0,27,1,28,1,0,0,51355,152,131,0
1,69,1,28,0,1,1,60244,26,236,0
0,69,1,41,1,1,0,39767,26,257,0
1,26,1,27,0,0,0,22110,152,126,0
1,23,1,41,0,0,1,29240,152,46,0
0,53,1,28,0,1,0,34550,26,170,0
0,45,1,43,1,1,0,2630,124,66,0
0,42,1,47,0,1,1,29764,124,149,0
1,24,1,28,1,0,0,64007,152,39,0
0,42,1,48,0,1,1,2630,7,35,0
1,25,1,36,0,0,1,41635,160,31,0
0,42,1,28,1,1,0,26013,124,282,0
0,26,1,36,1,0,0,29850,152,205,0
0,25,1,8,1,0,0,28107,152,130,0
0,21,1,22,1,0,0,28013,152,177,0
0,43,1,0,0,1,1,2630,59,217,0
1,50,1,6,1,1,0,32305,152,295,0
1,65,1,28,0,1,1,41131,13,96,0
0,22,1,13,0,0,1,2630,152,55,0
1,44,1,47,0,1,1,39161,26,28,0
1,26,1,41,1,0,0,34956,152,193,0
1,28,1,12,1,1,1,30584,156,131,0
0,52,1,31,0,1,1,2630,26,161,0
1,21,1,30,0,0,1,26600,152,296,0
0,51,1,28,0,1,1,2630,26,142,0
1,65,1,46,1,1,1,29959,11,139,0
1,80,1,3,1,1,1,30321,26,50,0
1,35,1,35,0,1,1,22622,156,223,0
0,53,1,51,0,1,1,32695,163,250,0
0,43,1,20,0,1,1,2630,124,12,0
1,54,1,8,1,1,0,42800,26,210,0
0,32,1,37,1,0,0,24006,152,198,0
1,28,1,41,1,0,0,32175,152,94,0
1,21,1,35,1,0,0,37542,160,156,0
1,34,1,11,0,1,0,2630,154,193,0
1,41,1,18,0,1,1,36817,124,14,0
1,52,1,29,1,1,0,25302,152,94,0
0,56,1,28,0,1,1,2630,26,242,0
0,44,1,14,0,1,1,33253,124,181,0
0,68,1,28,0,1,1,43381,30,12,0
0,55,1,43,0,1,1,42118,124,228,0
1,25,1,8,1,0,0,31240,152,39,0
0,22,1,6,0,0,1,36108,152,198,0
1,71,1,28,0,1,1,30062,26,128,0
1,22,1,32,1,0,0,30112,152,178,0
1,53,1,8,0,1,1,2630,157,215,0
1,20,1,28,0,0,1,20803,160,19,0
0,43,1,8,1,1,0,55671,124,56,0
1,23,1,40,0,0,0,36902,152,103,0
1,29,1,21,1,0,0,29000,152,289,0
0,23,1,42,0,0,1,26074,152,236,0
0,22,1,29,0,0,1,28333,152,104,0
0,44,1,28,1,1,0,29963,124,94,0
1,56,1,46,1,1,0,22581,152,38,0
1,42,1,41,0,1,1,19961,29,283,0
0,23,1,28,1,0,0,34672,152,195,0
0,25,1,8,1,0,0,43308,152,254,0
0,42,1,28,1,1,0,59252,26,148,0
1,26,1,29,1,0,0,26785,152,250,0
1,57,1,28,0,2,1,39481,122,193,0
0,42,1,36,0,1,1,35633,124,50,0
1,24,1,15,0,0,1,37250,152,282,0
1,21,1,15,1,0,0,39309,160,30,0
1,26,1,28,0,0,1,41579,26,213,0
0,51,1,28,0,2,1,54566,124,39,0
1,29,1,16,1,0,0,32682,152,220,0
0,44,1,24,0,1,1,34854,26,24,0
0,44,1,31,0,2,1,2630,124,227,0
0,53,1,28,1,1,0,2630,124,212,0
1,26,1,28,1,0,0,41675,152,33,0
0,23,1,7,0,0,1,39758,152,91,0
1,27,1,28,0,0,1,39203,152,114,0
1,35,1,41,0,1,1,2630,156,57,0
1,28,1,28,1,0,0,39804,152,244,0
1,31,1,18,1,0,0,35596,152,232,0
0,23,1,45,1,0,0,28221,151,286,0
1,23,1,36,0,0,1,30863,151,58,0
0,38,1,8,0,1,1,26039,7,152,0
0,49,1,28,0,1,1,38027,122,46,0
1,44,1,28,0,1,1,31338,122,280,0
1,24,1,45,0,0,0,25295,152,177,0
1,43,1,28,0,1,0,41129,124,145,0
0,25,1,2,1,0,0,32706,152,227,0
1,51,1,28,1,1,0,56262,124,101,0
1,25,1,15,0,0,1,80582,152,184,0
0,48,1,28,0,1,1,40256,26,212,0
1,21,1,50,1,0,0,40034,152,24,0
0,57,1,28,0,1,1,50303,26,102,0
0,55,1,36,0,1,1,2630,26,234,0
0,26,1,6,1,0,0,19954,152,104,0
1,23,1,29,1,0,0,24571,152,163,0
1,26,1,28,1,0,0,68235,152,64,0
1,36,1,12,1,1,0,25676,124,240,0
0,25,1,41,1,0,0,2630,152,59,0
0,70,1,52,0,1,0,41402,26,17,0
1,73,1,28,0,1,1,51425,26,226,0
0,37,1,15,0,1,1,34667,124,105,0
1,27,1,39,0,0,0,2630,1,191,0
1,24,1,22,0,0,1,30633,152,142,0
0,67,1,28,0,0,1,50898,26,95,0
0,79,1,31,1,1,0,2630,122,21,0
1,45,1,28,0,1,1,2630,26,158,0
0,23,1,49,0,0,1,22130,152,28,0
1,39,1,28,0,1,1,2630,26,169,0
1,35,1,41,0,1,1,27214,156,270,0
0,55,1,8,0,1,0,39282,7,216,0
0,20,1,36,0,0,0,2630,160,95,0
0,35,1,46,0,1,1,2630,124,32,0
1,51,1,8,0,2,1,2630,157,232,0
0,26,1,8,1,0,0,28019,152,42,0
0,24,1,15,1,0,0,31473,160,48,0
0,66,1,28,1,1,0,31378,124,116,0
0,45,1,7,0,2,1,2630,26,77,0
1,44,1,48,0,1,1,2630,26,42,0
0,47,1,46,0,2,1,21390,26,273,0
1,25,1,34,1,0,0,34115,152,106,0
0,41,1,29,0,1,1,34119,52,52,0
1,21,1,47,1,0,0,35490,152,236,0
0,60,1,26,0,1,1,2630,26,149,0
0,33,1,46,1,0,0,36475,152,15,0
0,36,1,28,0,1,1,45767,156,102,0
0,47,1,28,0,1,1,60413,124,298,0
1,34,1,26,0,1,0,24979,152,171,0
1,29,1,28,1,0,0,44991,152,265,0
1,37,1,28,0,1,1,47081,156,67,0
1,24,1,15,1,0,0,34475,152,142,0
0,64,1,15,1,1,0,2630,26,135,0
1,26,1,12,1,0,0,32793,152,196,0
0,74,1,28,0,2,1,53297,26,68,0
1,22,1,15,0,0,0,42115,152,53,0
1,25,1,3,0,0,1,21416,152,224,0
0,80,1,28,1,1,0,37481,122,208,0
0,32,1,20,0,0,1,2630,124,224,0
1,47,1,28,0,1,1,2630,124,226,0
0,35,1,14,1,1,0,22667,152,56,0
0,24,1,12,1,0,0,35006,152,40,0
1,69,1,28,0,2,1,53861,124,30,0
0,21,1,36,0,0,1,32856,152,183,0
0,22,1,41,1,0,0,48528,152,34,0
0,44,1,48,1,1,0,2630,15,104,0
1,31,1,27,1,0,0,2630,152,94,0
0,44,1,2,0,1,1,31999,26,34,0
1,21,1,15,1,0,0,35703,160,169,0
