用户ID,性别,年龄,是否有驾照,所在地区,是否此前购买过车险,车龄,车辆是否发生过事故,年保费,购买渠道,距离上次沟通时间间隔
381356,0,25,1,8,1,0,0,61313,152,30
381357,1,26,1,30,1,0,0,27084,152,230
381358,0,46,1,46,1,1,0,31509,124,298
381359,1,53,1,28,0,1,1,53230,124,122
381360,1,67,1,46,0,1,1,34908,26,51
381361,1,25,1,6,1,0,0,31659,152,17
381362,0,45,1,10,0,1,0,38916,124,217
381363,0,56,1,28,0,1,0,54290,31,273
381364,1,61,1,28,1,1,0,51888,26,33
381365,0,41,1,8,0,1,1,21252,163,47
381366,0,44,1,36,0,1,1,35560,124,105
381367,1,43,1,28,0,1,1,30498,152,279
381368,1,30,1,29,1,0,0,2630,160,36
381369,1,33,1,28,0,1,1,45268,124,209
381370,0,45,1,41,1,1,0,33166,152,52
381371,0,55,1,38,0,1,1,32560,124,82
381372,1,71,1,28,0,2,1,34462,26,120
381373,0,26,1,8,1,0,0,43724,152,110
381374,0,26,1,28,0,0,1,30899,152,119
381375,0,22,1,7,1,0,0,40635,160,289
381376,1,63,1,28,0,2,1,51323,26,210
381377,0,45,1,8,1,1,1,2630,4,198
381378,0,54,1,28,0,1,1,38729,157,115
381379,1,25,1,36,0,0,1,42478,152,45
381380,1,26,1,28,1,0,0,50523,152,103
381381,1,40,1,24,0,1,1,2630,157,82
381382,1,40,1,38,0,1,1,31193,124,96
381383,1,24,1,24,1,0,0,21429,152,105
381384,1,58,1,28,0,1,1,93515,26,280
381385,0,24,1,15,0,0,1,31253,152,188
381386,0,56,1,46,0,1,1,45379,26,283
381387,1,38,1,28,0,2,1,41743,124,20
381388,0,53,1,28,0,1,1,49750,26,207
381389,0,64,1,28,0,1,1,52823,26,149
381390,1,76,1,35,0,1,1,41134,26,260
381391,0,57,1,16,0,1,1,26818,124,91
381392,1,41,1,28,0,1,1,38713,124,32
381393,0,68,1,2,1,1,0,37895,152,121
381394,1,39,1,30,1,1,0,2630,152,66
381395,1,21,1,49,0,0,1,19593,152,86
381396,1,23,1,45,1,0,0,2630,152,158
381397,1,34,1,46,1,1,0,35109,124,202
381398,0,21,1,33,1,0,0,41100,152,40
381399,1,24,1,8,1,0,0,66490,152,15
381400,1,33,1,29,1,0,0,32874,152,168
381401,0,22,1,37,0,0,0,32489,152,188
381402,0,44,1,8,0,1,1,30312,124,222
381403,0,39,1,28,1,1,0,27815,124,75
381404,1,20,1,32,0,0,1,21977,160,85
381405,1,48,1,28,0,1,1,56409,52,103
381406,0,31,1,28,0,0,1,46712,124,166
381407,0,38,1,28,0,1,1,67319,26,61
381408,0,68,1,45,0,1,1,2630,26,267
381409,1,39,1,46,0,1,0,29248,152,114
381410,0,55,1,39,1,1,0,35066,124,83
381411,1,20,1,30,0,0,1,2630,156,136
381412,1,21,1,17,0,0,1,33554,152,169
381413,1,23,1,15,0,0,1,26886,152,163
381414,0,59,1,28,0,1,1,31231,124,254
381415,1,41,1,28,1,1,0,32522,154,236
381416,1,23,1,33,1,0,0,29019,152,31
381417,0,43,1,46,0,2,1,30471,124,72
381418,1,29,1,33,1,0,0,35083,152,166
381419,0,23,1,45,1,0,0,35448,152,42
381420,1,24,1,14,1,0,0,27805,152,222
381421,1,40,1,19,0,1,1,2630,156,157
381422,0,77,1,28,0,1,1,61533,122,73
381423,1,45,1,8,0,2,1,45171,124,151
381424,0,49,1,39,1,1,0,55159,124,274
381425,0,36,1,33,0,1,1,31091,124,239
381426,1,27,1,29,1,0,1,2630,154,137
381427,1,26,1,41,1,0,0,23500,152,127
381428,1,41,1,28,0,1,1,38204,152,127
381429,0,51,1,28,0,1,1,47843,26,126
381430,0,38,1,15,0,1,1,25059,152,274
381431,0,47,1,30,0,0,0,2630,1,214
381432,0,24,1,41,0,0,1,35554,152,64
381433,0,44,1,8,0,1,1,30567,26,108
381434,1,24,1,29,1,0,0,2630,152,91
381435,0,26,1,28,0,0,1,42220,152,280
381436,0,50,1,26,0,1,1,47422,26,39
381437,1,73,1,28,0,1,1,43458,26,95
381438,1,30,1,3,0,1,1,2630,157,171
381439,0,21,1,33,0,1,1,22941,156,282
381440,0,42,1,28,1,1,0,34944,26,239
381441,1,64,1,28,0,1,1,33037,26,214
381442,1,49,1,28,0,1,1,35770,163,78
381443,1,49,1,15,0,1,1,27535,152,207
381444,0,28,1,46,1,0,0,28086,152,250
381445,0,77,1,28,1,1,0,30667,122,296
381446,0,45,1,28,0,1,1,60953,26,223
381447,1,21,1,28,0,0,1,36019,152,74
381448,1,22,1,30,1,0,0,25883,152,204
381449,1,20,1,6,0,0,1,2630,160,77
381450,0,48,1,28,0,1,1,39713,26,157
381451,0,24,1,28,1,0,0,51482,152,103
381452,1,47,1,28,0,1,1,42651,26,28
381453,0,56,1,28,1,1,0,32564,124,140
381454,1,42,1,18,0,1,0,34353,124,284
381455,1,22,1,28,0,0,1,74943,152,257
381456,0,78,1,28,0,1,1,49093,13,12
381457,1,56,1,35,0,1,1,2630,152,178
381458,1,29,1,50,1,0,0,57615,152,101
381459,1,22,1,11,1,0,0,28067,152,42
381460,1,22,1,25,1,0,0,49714,152,225
381461,1,26,1,33,1,0,0,2630,152,146
381462,1,24,1,15,1,0,0,36216,151,98
381463,0,43,1,31,0,2,1,2630,9,25
381464,0,21,1,46,0,0,1,33621,152,285
381465,1,42,1,8,0,1,1,27635,7,288
381466,0,23,1,3,1,0,0,2630,152,238
381467,0,28,1,41,0,0,0,37686,152,268
381468,1,61,1,28,1,1,0,27227,26,217
381469,0,70,1,28,0,1,1,30421,26,62
381470,1,78,1,28,0,2,1,42781,26,187
381471,0,22,1,3,0,0,0,35250,152,227
381472,0,50,1,35,0,1,1,33696,124,249
381473,0,57,1,28,0,1,1,2630,26,106
381474,0,30,1,15,1,0,0,2630,152,134
381475,0,40,1,41,0,1,1,35030,26,219
381476,0,32,1,33,0,0,1,2630,160,240
381477,1,40,1,11,1,1,0,38475,124,162
381478,1,38,1,41,1,1,0,42006,124,269
381479,0,40,1,28,0,1,1,61984,26,84
381480,0,27,1,8,1,0,0,40255,152,70
381481,0,59,1,19,0,2,1,61868,26,86
381482,0,46,1,18,0,1,1,40500,124,36
381483,1,34,1,30,1,0,0,2630,152,231
381484,0,59,1,33,0,1,0,26028,124,240
381485,0,23,1,15,0,0,1,36276,152,287
381486,1,53,1,8,1,1,0,2630,25,256
381487,1,56,1,28,0,1,0,33641,26,40
381488,0,25,1,28,1,0,0,45469,152,162
381489,0,36,1,9,0,1,1,33321,124,78
381490,1,48,1,28,0,1,1,57851,124,198
381491,0,62,1,11,0,1,1,39505,26,164
381492,0,43,1,28,0,2,1,44402,26,148
381493,1,25,1,41,1,0,0,46805,152,234
381494,0,54,1,6,1,1,0,26663,26,127
381495,1,22,1,28,1,0,0,39153,152,42
381496,1,56,1,8,0,1,1,29119,26,170
381497,0,32,1,47,1,1,0,34953,124,138
381498,0,24,1,41,1,0,0,20375,152,147
381499,0,22,1,1,0,0,1,2630,152,277
381500,1,30,1,8,0,0,0,2630,152,236
381501,1,40,1,28,0,1,1,31817,26,202
381502,0,68,1,23,1,1,0,26048,26,299
381503,1,25,1,13,1,0,0,41473,152,192
381504,1,30,1,30,1,0,0,27828,152,132
381505,1,23,1,49,1,0,0,2630,160,157
381506,0,51,1,28,1,1,0,45840,26,58
381507,0,24,1,28,0,0,1,50117,124,291
381508,0,40,1,3,1,1,0,37958,152,261
381509,0,44,1,8,0,1,1,46536,124,233
381510,1,42,1,28,0,1,1,36349,124,189
381511,1,45,1,28,0,1,1,36121,124,19
381512,1,43,1,28,1,1,0,33907,26,280
381513,0,44,1,4,0,1,1,33594,31,229
381514,1,36,1,41,0,1,1,38735,124,250
381515,1,34,1,28,0,1,1,40969,24,238
381516,1,28,1,35,1,0,0,34533,160,90
381517,0,62,1,28,0,2,1,41531,13,156
381518,1,67,1,28,0,2,1,25929,26,79
381519,0,41,1,28,0,1,1,29990,26,28
381520,0,49,1,35,0,1,1,25165,124,284
381521,0,40,1,46,0,1,1,43185,26,42
381522,1,72,1,28,1,1,0,45285,122,297
381523,1,25,1,11,1,0,0,26711,152,236
381524,1,52,1,39,0,1,1,2630,154,281
381525,0,28,1,15,1,0,0,43046,152,93
381526,0,46,1,28,1,1,0,51602,60,242
381527,1,24,1,29,1,0,0,29608,152,212
381528,0,59,1,8,1,1,1,48134,124,158
381529,1,56,1,30,1,1,0,37469,152,272
381530,0,43,1,8,0,1,1,34609,124,34
381531,1,28,1,47,0,1,1,52450,26,224
381532,1,68,1,28,0,2,1,2630,157,296
381533,0,50,1,28,1,1,0,50890,61,96
381534,1,24,1,29,1,0,0,24600,152,292
381535,1,41,1,28,0,1,1,55230,3,75
381536,0,48,1,33,0,1,1,2630,124,141
381537,0,31,1,28,0,0,1,30467,31,160
381538,0,22,1,28,0,1,1,31219,124,253
381539,1,42,1,28,0,1,1,31218,124,277
381540,0,25,1,15,1,0,0,28136,152,178
381541,1,25,1,8,1,0,0,35310,152,250
381542,1,69,1,41,0,1,1,35457,26,292
381543,0,42,1,41,0,1,1,26604,26,215
381544,1,45,1,28,1,1,0,30473,154,11
381545,0,59,1,28,1,1,0,46770,122,264
381546,0,42,1,41,0,2,1,50666,26,85
381547,0,39,1,28,0,1,1,44185,124,237
381548,0,45,1,8,0,1,1,28278,124,208
381549,0,37,1,20,0,1,1,2630,124,44
381550,0,26,1,11,1,0,0,21798,152,174
381551,1,40,1,46,0,1,1,29457,156,34
381552,0,21,1,2,0,0,1,2630,152,38
381553,0,24,1,26,1,0,0,49288,151,182
381554,1,58,1,26,0,1,1,37414,26,268
381555,1,27,1,15,1,0,0,36279,152,234
381556,1,33,1,33,0,0,1,30824,152,169
381557,0,20,1,47,0,0,1,42739,160,154
381558,0,37,1,28,1,1,0,2630,23,201
381559,1,24,1,12,0,0,0,58354,152,290
381560,1,29,1,28,0,1,1,37295,157,202
381561,1,22,1,33,1,0,0,32070,152,21
381562,1,66,1,8,1,1,0,45663,7,32
381563,0,21,1,46,0,0,1,33809,152,187
381564,0,59,1,5,1,1,1,34858,26,280
381565,0,70,1,28,0,1,1,48139,13,111
381566,0,22,1,28,1,0,0,69521,152,196
381567,0,58,1,28,1,1,0,62160,26,116
381568,0,69,1,41,0,1,1,27646,26,255
381569,0,27,1,28,1,0,0,51355,152,131
381570,1,69,1,28,0,1,1,60244,26,236
381571,0,69,1,41,1,1,0,39767,26,257
381572,1,26,1,27,0,0,0,22110,152,126
381573,1,23,1,41,0,0,1,29240,152,46
381574,0,53,1,28,0,1,0,34550,26,170
381575,0,45,1,43,1,1,0,2630,124,66
381576,0,42,1,47,0,1,1,29764,124,149
381577,1,24,1,28,1,0,0,64007,152,39
381578,0,42,1,48,0,1,1,2630,7,35
381579,1,25,1,36,0,0,1,41635,160,31
381580,0,42,1,28,1,1,0,26013,124,282
381581,0,26,1,36,1,0,0,29850,152,205
381582,0,25,1,8,1,0,0,28107,152,130
381583,0,21,1,22,1,0,0,28013,152,177
381584,0,43,1,0,0,1,1,2630,59,217
381585,1,50,1,6,1,1,0,32305,152,295
381586,1,65,1,28,0,1,1,41131,13,96
381587,0,22,1,13,0,0,1,2630,152,55
381588,1,44,1,47,0,1,1,39161,26,28
381589,1,26,1,41,1,0,0,34956,152,193
381590,1,28,1,12,1,1,1,30584,156,131
381591,0,52,1,31,0,1,1,2630,26,161
381592,1,21,1,30,0,0,1,26600,152,296
381593,0,51,1,28,0,1,1,2630,26,142
381594,1,65,1,46,1,1,1,29959,11,139
381595,1,80,1,3,1,1,1,30321,26,50
381596,1,35,1,35,0,1,1,22622,156,223
381597,0,53,1,51,0,1,1,32695,163,250
381598,0,43,1,20,0,1,1,2630,124,12
381599,1,54,1,8,1,1,0,42800,26,210
381600,0,32,1,37,1,0,0,24006,152,198
381601,1,28,1,41,1,0,0,32175,152,94
381602,1,21,1,35,1,0,0,37542,160,156
381603,1,34,1,11,0,1,0,2630,154,193
381604,1,41,1,18,0,1,1,36817,124,14
381605,1,52,1,29,1,1,0,25302,152,94
381606,0,56,1,28,0,1,1,2630,26,242
381607,0,44,1,14,0,1,1,33253,124,181
381608,0,68,1,28,0,1,1,43381,30,12
381609,0,55,1,43,0,1,1,42118,124,228
381610,1,25,1,8,1,0,0,31240,152,39
381611,0,22,1,6,0,0,1,36108,152,198
381612,1,71,1,28,0,1,1,30062,26,128
381613,1,22,1,32,1,0,0,30112,152,178
381614,1,53,1,8,0,1,1,2630,157,215
381615,1,20,1,28,0,0,1,20803,160,19
381616,0,43,1,8,1,1,0,55671,124,56
381617,1,23,1,40,0,0,0,36902,152,103
381618,1,29,1,21,1,0,0,29000,152,289
381619,0,23,1,42,0,0,1,26074,152,236
381620,0,22,1,29,0,0,1,28333,152,104
381621,0,44,1,28,1,1,0,29963,124,94
381622,1,56,1,46,1,1,0,22581,152,38
381623,1,42,1,41,0,1,1,19961,29,283
381624,0,23,1,28,1,0,0,34672,152,195
381625,0,25,1,8,1,0,0,43308,152,254
381626,0,42,1,28,1,1,0,59252,26,148
381627,1,26,1,29,1,0,0,26785,152,250
381628,1,57,1,28,0,2,1,39481,122,193
381629,0,42,1,36,0,1,1,35633,124,50
381630,1,24,1,15,0,0,1,37250,152,282
381631,1,21,1,15,1,0,0,39309,160,30
381632,1,26,1,28,0,0,1,41579,26,213
381633,0,51,1,28,0,2,1,54566,124,39
381634,1,29,1,16,1,0,0,32682,152,220
381635,0,44,1,24,0,1,1,34854,26,24
381636,0,44,1,31,0,2,1,2630,124,227
381637,0,53,1,28,1,1,0,2630,124,212
381638,1,26,1,28,1,0,0,41675,152,33
381639,0,23,1,7,0,0,1,39758,152,91
381640,1,27,1,28,0,0,1,39203,152,114
381641,1,35,1,41,0,1,1,2630,156,57
381642,1,28,1,28,1,0,0,39804,152,244
381643,1,31,1,18,1,0,0,35596,152,232
381644,0,23,1,45,1,0,0,28221,151,286
381645,1,23,1,36,0,0,1,30863,151,58
381646,0,38,1,8,0,1,1,26039,7,152
381647,0,49,1,28,0,1,1,38027,122,46
381648,1,44,1,28,0,1,1,31338,122,280
381649,1,24,1,45,0,0,0,25295,152,177
381650,1,43,1,28,0,1,0,41129,124,145
381651,0,25,1,2,1,0,0,32706,152,227
381652,1,51,1,28,1,1,0,56262,124,101
381653,1,25,1,15,0,0,1,80582,152,184
381654,0,48,1,28,0,1,1,40256,26,212
381655,1,21,1,50,1,0,0,40034,152,24
381656,0,57,1,28,0,1,1,50303,26,102
381657,0,55,1,36,0,1,1,2630,26,234
381658,0,26,1,6,1,0,0,19954,152,104
381659,1,23,1,29,1,0,0,24571,152,163
381660,1,26,1,28,1,0,0,68235,152,64
381661,1,36,1,12,1,1,0,25676,124,240
381662,0,25,1,41,1,0,0,2630,152,59
381663,0,70,1,52,0,1,0,41402,26,17
381664,1,73,1,28,0,1,1,51425,26,226
381665,0,37,1,15,0,1,1,34667,124,105
381666,1,27,1,39,0,0,0,2630,1,191
381667,1,24,1,22,0,0,1,30633,152,142
381668,0,67,1,28,0,0,1,50898,26,95
381669,0,79,1,31,1,1,0,2630,122,21
381670,1,45,1,28,0,1,1,2630,26,158
381671,0,23,1,49,0,0,1,22130,152,28
381672,1,39,1,28,0,1,1,2630,26,169
381673,1,35,1,41,0,1,1,27214,156,270
381674,0,55,1,8,0,1,0,39282,7,216
381675,0,20,1,36,0,0,0,2630,160,95
381676,0,35,1,46,0,1,1,2630,124,32
381677,1,51,1,8,0,2,1,2630,157,232
381678,0,26,1,8,1,0,0,28019,152,42
381679,0,24,1,15,1,0,0,31473,160,48
381680,0,66,1,28,1,1,0,31378,124,116
381681,0,45,1,7,0,2,1,2630,26,77
381682,1,44,1,48,0,1,1,2630,26,42
381683,0,47,1,46,0,2,1,21390,26,273
381684,1,25,1,34,1,0,0,34115,152,106
381685,0,41,1,29,0,1,1,34119,52,52
381686,1,21,1,47,1,0,0,35490,152,236
