用户ID,性别,年龄,所在地区代码,年保费,购买保险渠道,距离上次沟通时间,是否有驾照,是否购买过车险,车龄,此前是否发生事故,是否响应
97929,女,55,33,32427,152,170,1,否,1-2 年,是,0
273445,男,23,2,40116,152,129,1,否,< 1 年,否,0
199729,女,23,9,43818,152,55,1,否,< 1 年,是,0
328078,男,58,28,2630,154,191,1,否,1-2 年,否,0
288217,男,52,28,37403,26,86,1,否,1-2 年,是,0
290780,男,25,11,2630,152,75,1,是,< 1 年,否,0
61053,男,40,28,2630,156,139,1,否,1-2 年,是,0
16974,男,54,8,28451,124,117,1,否,1-2 年,是,0
279085,女,21,46,30815,160,208,1,是,< 1 年,否,0
227001,女,26,13,19392,152,188,1,是,< 1 年,否,0
284930,女,21,49,2630,160,83,1,是,< 1 年,是,0
67987,女,44,28,58361,124,286,1,否,1-2 年,是,0
221367,男,47,15,2630,160,287,1,是,1-2 年,是,0
87398,男,49,29,41051,156,70,1,是,1-2 年,是,0
229881,女,51,33,33621,157,238,1,否,1-2 年,是,0
261407,男,58,8,34942,26,115,1,是,1-2 年,否,0
155092,女,24,25,29194,152,49,1,否,< 1 年,否,0
190081,男,24,29,29376,152,193,1,是,< 1 年,否,0
359598,男,51,6,32131,124,197,1,是,1-2 年,否,0
262910,男,52,28,33697,26,285,1,否,1-2 年,是,0
14734,女,46,8,28465,124,227,1,是,1-2 年,否,0
169344,女,33,15,41396,152,144,1,是,< 1 年,否,0
273650,女,67,28,59656,26,281,1,否,1-2 年,否,0
337899,男,42,8,36553,124,113,1,否,1-2 年,是,0
209970,男,51,8,41133,26,270,1,否,1-2 年,是,0
103859,女,50,8,33605,7,126,1,是,1-2 年,否,0
290103,男,35,24,27860,124,52,1,是,1-2 年,否,0
52359,女,30,26,51626,22,244,1,否,< 1 年,是,0
344403,男,22,36,36991,152,91,1,是,< 1 年,否,0
103199,女,55,28,2630,1,263,1,否,< 1 年,否,0
227467,男,33,28,41758,31,87,1,否,1-2 年,是,0
196081,女,46,23,2630,124,198,1,是,1-2 年,否,0
17685,女,24,15,29924,151,298,1,是,< 1 年,否,0
80481,男,37,33,27457,124,80,1,否,1-2 年,是,0
231891,男,26,46,21518,160,162,1,否,< 1 年,否,0
364233,男,32,50,38623,8,216,1,否,< 1 年,是,0
337624,男,24,33,49319,124,11,1,否,< 1 年,是,0
210046,女,25,2,24130,152,106,1,否,< 1 年,是,0
275443,男,22,28,472042,163,114,1,否,< 1 年,是,0
243998,女,22,11,31024,152,101,1,否,< 1 年,否,0
284346,女,48,30,25262,26,68,1,否,> 2 年,是,0
182461,女,47,28,46960,26,67,1,否,1-2 年,是,0
44788,女,26,41,27986,152,62,1,是,< 1 年,否,0
44671,男,27,50,55210,8,286,1,是,1-2 年,否,0
374984,女,46,8,2630,154,218,1,否,1-2 年,是,0
212607,女,25,41,39588,152,265,1,是,< 1 年,否,0
231786,女,26,50,36066,152,79,1,是,< 1 年,否,0
302797,男,41,17,49009,124,49,1,否,1-2 年,是,0
320342,男,23,29,30924,152,161,1,是,< 1 年,否,0
192822,女,47,24,39597,26,107,1,否,1-2 年,是,0
38584,女,58,29,2630,156,245,1,否,1-2 年,是,0
57319,女,21,9,32337,160,188,1,是,< 1 年,否,0
165086,男,27,45,22347,152,276,1,是,< 1 年,否,0
198022,男,66,41,2630,26,286,1,否,1-2 年,是,0
225989,男,48,30,21466,156,210,1,否,1-2 年,是,0
339842,男,55,35,38560,124,227,1,否,1-2 年,是,0
16618,女,62,39,35698,26,210,1,是,1-2 年,否,0
321528,男,75,28,34412,23,263,1,否,1-2 年,是,0
20089,男,51,46,36990,26,280,1,否,1-2 年,是,0
62142,男,43,46,31973,124,274,1,是,1-2 年,是,0
255836,女,65,41,34782,26,139,1,否,1-2 年,是,0
223796,男,40,41,28344,31,52,1,否,1-2 年,是,0
30528,男,28,41,30822,152,97,1,否,< 1 年,否,0
264753,女,22,39,28764,152,229,1,是,< 1 年,否,0
207107,男,59,18,64895,26,189,1,否,1-2 年,是,0
191298,男,66,8,39139,19,102,1,是,1-2 年,否,0
356690,女,30,45,30659,152,231,1,否,< 1 年,是,0
74880,女,68,28,51964,122,181,1,是,1-2 年,否,0
156333,男,23,37,30648,152,261,1,是,< 1 年,否,0
111531,男,46,28,53186,124,90,1,否,> 2 年,是,0
119557,男,43,28,31610,26,196,1,是,1-2 年,否,0
258871,男,29,10,28936,152,203,1,是,< 1 年,否,0
159869,女,58,8,2630,156,171,1,是,1-2 年,是,0
154558,女,34,28,56056,122,199,1,否,1-2 年,是,0
237024,女,45,28,38023,26,255,1,否,> 2 年,是,0
149392,男,24,8,2630,26,149,1,是,< 1 年,否,0
233235,男,49,33,2630,124,42,1,否,1-2 年,是,0
264726,男,28,29,29107,152,63,1,是,< 1 年,否,0
105773,女,22,3,29539,152,166,1,是,< 1 年,否,0
8251,女,24,16,2630,152,293,1,是,< 1 年,否,0
296140,女,33,28,51695,26,279,1,否,< 1 年,是,0
1803,女,21,28,35688,160,116,1,否,< 1 年,是,0
240423,男,21,36,30263,152,156,1,是,< 1 年,否,0
220848,女,24,15,87160,152,136,1,否,< 1 年,是,0
141681,男,40,8,45703,124,146,1,否,> 2 年,是,0
151890,女,29,33,2630,152,24,1,是,< 1 年,否,0
191742,女,35,28,44031,26,240,1,否,1-2 年,是,0
322606,男,22,8,31756,152,234,1,否,< 1 年,是,0
204815,女,36,50,2630,152,22,1,否,1-2 年,是,0
82428,女,42,23,2630,124,167,1,否,1-2 年,是,0
40734,女,52,8,31098,124,126,1,否,1-2 年,否,0
22628,女,29,50,28105,152,59,1,是,< 1 年,否,0
356832,男,25,37,47390,152,220,1,是,< 1 年,否,0
24204,男,38,28,33688,26,162,1,否,1-2 年,是,0
47681,男,23,22,35409,152,286,1,否,< 1 年,是,0
244812,男,60,8,27570,124,148,1,否,1-2 年,是,0
151099,男,51,17,44178,124,190,1,否,1-2 年,是,0
284482,女,73,28,26680,154,208,1,是,1-2 年,否,0
318542,女,32,28,29013,152,173,1,是,< 1 年,否,0
38009,女,23,41,31242,152,44,1,否,< 1 年,是,0
8338,女,31,28,28887,152,234,1,否,< 1 年,是,0
37015,女,31,28,40669,122,64,1,否,< 1 年,是,0
145620,女,27,3,18798,152,70,1,否,< 1 年,否,0
324617,男,40,41,29617,124,267,1,否,1-2 年,是,1
281977,男,34,45,2630,156,65,1,否,1-2 年,是,1
318828,女,50,15,45185,124,155,1,否,1-2 年,是,1
224217,女,52,30,30061,26,183,1,否,1-2 年,是,1
325678,男,40,28,60725,26,275,1,是,1-2 年,否,0
143030,男,30,12,25183,152,236,1,否,< 1 年,是,0
143308,女,43,28,39368,26,275,1,否,1-2 年,是,1
84645,女,43,41,44382,26,251,1,否,1-2 年,是,1
259023,男,47,23,2630,124,240,1,否,1-2 年,是,1
253788,女,22,47,36681,152,261,1,否,< 1 年,否,0
348107,女,24,28,33839,26,258,1,否,< 1 年,是,0
52457,男,68,38,25736,55,195,1,否,1-2 年,是,0
153036,女,49,28,28533,124,180,1,是,1-2 年,否,0
102818,女,25,13,25302,152,98,1,否,< 1 年,是,0
220489,女,28,14,2630,152,93,1,是,< 1 年,否,0
218734,男,33,28,33656,156,277,1,否,1-2 年,是,1
260024,男,56,7,31129,26,184,1,是,1-2 年,否,0
208107,男,37,45,42955,107,31,1,是,1-2 年,否,0
309464,男,32,18,2630,156,180,1,否,1-2 年,是,1
9133,男,21,50,44222,152,295,1,是,< 1 年,否,0
148138,女,43,9,30664,152,63,1,否,1-2 年,是,1
94488,男,25,6,42608,152,247,1,是,< 1 年,否,0
23621,男,33,12,2630,152,209,1,否,< 1 年,否,0
373610,男,61,28,47478,26,248,1,否,> 2 年,是,0
81499,女,52,28,38127,124,220,1,否,1-2 年,是,1
197948,女,20,6,2630,160,162,1,是,< 1 年,否,0
108273,男,39,36,2630,124,22,1,否,1-2 年,是,1
26916,女,42,28,44152,26,265,1,否,1-2 年,否,1
115587,女,20,45,25551,160,282,1,是,< 1 年,是,0
110257,女,50,28,36789,124,201,1,是,1-2 年,否,0
353240,男,44,28,29793,26,25,1,是,1-2 年,否,0
145173,男,70,12,2630,4,292,0,否,1-2 年,是,0
175684,男,36,50,35030,160,158,1,是,1-2 年,否,0
89543,男,51,45,29705,124,73,1,是,1-2 年,否,0
353955,男,24,41,28880,152,121,1,是,< 1 年,否,0
318651,女,32,45,35438,152,124,1,是,< 1 年,否,0
223688,女,23,8,26452,152,140,1,是,< 1 年,否,0
316606,男,29,45,40889,152,171,1,是,< 1 年,否,0
18017,男,74,3,35622,26,19,1,是,1-2 年,否,0
60606,男,77,28,51592,124,251,1,否,1-2 年,是,0
367839,女,31,30,30032,152,28,1,是,< 1 年,否,0
39473,男,47,28,30126,26,59,1,是,1-2 年,否,0
31914,女,44,28,45290,26,145,1,否,1-2 年,是,1
88431,男,49,50,33984,26,201,1,否,1-2 年,是,1
363452,男,45,28,33604,26,247,1,否,1-2 年,是,1
93967,男,41,28,32966,124,110,1,否,1-2 年,是,1
315035,女,37,28,44766,124,46,1,否,1-2 年,是,1
279119,女,75,41,2630,136,150,1,是,1-2 年,否,0
260075,女,29,8,38090,153,18,1,否,< 1 年,是,0
331044,女,68,28,63955,26,107,1,否,1-2 年,是,0
95837,男,30,50,42400,26,168,1,否,1-2 年,是,1
197337,男,24,8,36803,152,72,1,是,< 1 年,否,0
187884,女,22,28,42923,152,48,1,否,< 1 年,是,0
130906,男,24,25,23429,152,138,1,是,< 1 年,否,0
299921,男,30,33,45607,152,118,1,是,< 1 年,否,0
337216,女,27,14,51916,152,298,1,是,< 1 年,否,0
121379,女,23,25,2630,152,226,1,是,< 1 年,否,0
263759,女,67,41,32759,26,83,1,否,1-2 年,是,0
121881,女,21,8,48360,160,84,1,否,< 1 年,是,0
135186,男,38,8,45627,157,158,1,否,> 2 年,是,0
96886,女,51,15,40568,154,54,1,是,1-2 年,否,0
292935,男,47,28,40731,26,250,1,否,1-2 年,是,1
4551,女,24,6,28841,152,120,1,是,< 1 年,否,0
288071,男,53,20,2630,124,252,1,否,1-2 年,是,1
292378,男,71,9,2630,124,120,1,否,1-2 年,是,0
165234,男,21,37,28558,152,86,1,否,< 1 年,是,0
304927,女,39,35,23623,124,86,1,是,1-2 年,否,0
240666,女,45,46,25295,26,179,1,否,1-2 年,是,1
71203,男,41,28,2630,160,158,1,否,1-2 年,否,0
226907,男,23,8,81021,152,107,1,是,< 1 年,否,0
25555,女,62,50,23688,154,247,1,否,1-2 年,是,0
377131,女,25,10,21127,151,138,1,是,< 1 年,否,0
211276,男,58,28,39097,26,225,1,是,1-2 年,否,0
367531,男,41,3,34998,26,252,1,是,1-2 年,否,0
95087,男,25,46,2630,156,292,1,否,< 1 年,是,0
216650,女,25,37,39415,152,254,1,是,< 1 年,否,0
332250,男,40,1,2630,124,275,1,否,1-2 年,是,1
9636,女,22,15,26637,152,14,1,是,< 1 年,否,0
128289,女,20,45,29077,160,47,1,否,< 1 年,是,0
164153,女,42,28,2630,124,102,1,否,1-2 年,否,0
43078,男,46,30,38947,26,239,1,否,1-2 年,是,1
165504,男,54,28,56189,26,237,1,否,1-2 年,是,1
160050,女,58,33,35272,26,213,1,否,1-2 年,是,0
351449,男,26,3,25187,160,246,1,否,< 1 年,是,0
353759,女,44,36,47081,26,219,1,否,1-2 年,是,1
17780,女,23,6,28115,152,139,1,是,< 1 年,否,0
243260,女,21,35,22939,152,214,1,是,< 1 年,否,0
259613,女,37,28,27672,124,274,1,否,1-2 年,是,1
245081,男,52,28,39215,124,227,1,否,1-2 年,是,1
160665,女,23,18,37780,124,199,1,否,< 1 年,是,0
346439,男,34,8,41615,124,280,1,否,1-2 年,是,1
102892,女,27,15,36149,152,85,1,否,< 1 年,是,0
269155,女,22,11,32150,152,85,1,是,< 1 年,否,0
44459,男,23,35,22740,152,16,1,是,< 1 年,否,0
78391,男,46,15,31359,124,186,1,否,1-2 年,是,1
49853,男,57,19,30545,26,230,1,是,1-2 年,否,0
317167,女,25,14,19684,152,201,1,是,< 1 年,否,0
183091,男,61,28,2630,122,211,1,否,1-2 年,是,0
142309,男,25,30,34707,152,29,1,是,< 1 年,否,0
22510,女,34,50,45982,152,244,1,否,1-2 年,是,1
218976,女,49,48,2630,15,178,1,是,1-2 年,否,0
362848,男,67,28,52877,26,151,1,是,1-2 年,否,0
111956,女,26,33,2630,160,35,1,是,< 1 年,否,0
99975,男,40,28,2630,124,80,1,否,1-2 年,是,1
164718,男,66,28,52484,55,108,1,否,> 2 年,是,0
55020,男,21,33,34030,152,259,1,否,< 1 年,是,0
137494,女,26,35,30688,152,219,1,是,< 1 年,否,0
255574,男,36,41,40557,152,147,1,是,1-2 年,否,0
196427,男,25,29,25627,152,87,1,是,< 1 年,否,0
280390,女,66,50,55651,120,103,1,是,1-2 年,否,0
129924,女,69,28,30147,26,52,1,是,1-2 年,否,0
24177,男,50,33,22010,124,85,1,是,1-2 年,否,0
279864,男,25,25,29568,152,267,1,是,< 1 年,否,0
12150,男,32,45,34693,152,47,1,是,< 1 年,否,0
107436,女,21,28,28543,160,278,1,否,< 1 年,是,0
254525,男,53,29,38823,163,34,1,否,1-2 年,是,1
79592,男,46,4,2630,156,36,1,否,1-2 年,是,0
293444,男,22,20,2630,152,110,1,否,< 1 年,是,0
348170,男,52,41,2630,124,96,1,是,1-2 年,否,0
96341,男,64,24,31004,26,58,1,否,1-2 年,是,0
267751,女,26,9,31873,152,186,1,是,< 1 年,否,0
2319,男,40,8,44197,26,160,1,否,1-2 年,是,0
206749,男,26,32,27972,152,120,1,是,< 1 年,否,0
48569,男,75,36,29690,30,266,1,否,1-2 年,是,0
119949,男,45,28,22153,26,247,1,否,1-2 年,是,0
121225,女,23,45,23622,152,75,1,是,< 1 年,否,0
74111,男,43,28,32573,122,200,1,否,1-2 年,是,0
181493,男,46,36,29229,124,283,1,否,1-2 年,是,0
153536,男,22,29,2630,154,129,1,否,1-2 年,否,0
134315,女,41,46,42520,26,59,1,否,1-2 年,是,0
89639,男,35,47,36449,124,83,1,否,1-2 年,是,0
218635,女,22,18,33664,152,106,1,是,< 1 年,否,0
108746,女,24,41,38757,152,295,1,否,< 1 年,是,0
13018,女,27,46,17544,152,28,1,是,< 1 年,否,0
73141,男,65,0,2630,122,112,1,否,1-2 年,否,0
110521,女,23,9,29288,152,145,1,是,< 1 年,否,0
362240,女,28,24,19937,152,23,1,是,< 1 年,否,0
163485,女,25,30,35957,152,163,1,是,< 1 年,否,0
122232,女,22,36,2630,160,114,1,是,< 1 年,是,0
56587,女,26,21,30623,152,104,1,否,< 1 年,是,0
31861,男,44,8,40461,26,148,1,是,1-2 年,否,0
42399,女,75,28,31931,124,90,1,否,1-2 年,是,0
292704,男,24,36,38087,152,142,1,是,< 1 年,否,0
267535,女,61,45,24717,154,69,1,是,1-2 年,否,0
375944,女,39,46,38300,124,128,1,是,1-2 年,否,0
212118,女,59,37,27464,124,173,1,否,> 2 年,是,0
229473,女,62,28,36104,26,141,1,否,> 2 年,是,0
96126,女,25,14,30650,152,49,1,是,< 1 年,否,0
84745,男,25,10,24815,152,101,1,是,< 1 年,否,0
226513,男,49,28,47420,25,280,1,否,1-2 年,是,0
303863,男,27,47,40539,152,140,1,否,< 1 年,否,0
285681,女,70,8,56410,7,62,1,是,1-2 年,否,0
51616,女,43,28,48810,26,268,1,否,1-2 年,是,0
17184,男,42,8,40827,124,83,1,否,1-2 年,是,0
